0	18.2	6.3	0	#8FDDF4
1	1.4	18.3	0	#8DD631
2	2.4	4.3	0	#A5A5A5
3	15.5	28	7	#FDDD71
4	9	28	5	#FDDD71
5	16.9	2.1	24	#FDDD71
6	8.6	19.9	3	#FDDD71
7	18.4	29.9	23	#FDDD71
8	3.9	10.8	3	#FDDD71
9	14.8	7.6	26	#FDDD71
10	2.4	25.1	24	#FDDD71
11	18.4	11.9	16	#FDDD71
12	14.9	17.2	21	#FDDD71
13	7.1	0.5	6	#FDDD71
14	13.4	24.8	17	#FDDD71
15	17.5	29.4	27	#FDDD71
16	16.7	9.5	27	#FDDD71
17	12.4	26.7	1	#FDDD71
18	25.7	6.3	6	#FDDD71
19	11.6	24	27	#FDDD71
20	10.2	3	23	#FDDD71
21	3.5	26.2	18	#FDDD71
22	17.9	19.4	13	#FDDD71
23	3.8	7.8	1	#FDDD71
24	14.2	19.6	13	#FDDD71
25	15.9	5.5	21	#FDDD71
26	1.3	19.3	23	#FDDD71
27	20.5	25.3	16	#FDDD71
28	16.8	19.8	8	#FDDD71
29	27.5	17.7	24	#FDDD71
30	19.4	20.7	15	#FDDD71
31	20.5	14	24	#FDDD71
32	20.9	7.7	8	#FDDD71
33	2.8	25.4	5	#FDDD71
34	16.1	19.7	3	#FDDD71
35	0.4	1.1	9	#FDDD71
36	13.6	9.4	11	#FDDD71
37	0.3	9.2	7	#FDDD71
38	0.5	23.4	10	#FDDD71
39	22.7	23.1	13	#FDDD71
40	19.1	20.2	13	#FDDD71
41	7	21.4	8	#FDDD71
42	28.9	0.9	24	#FDDD71
43	19.6	2.1	14	#FDDD71
44	22.8	15.4	27	#FDDD71
45	13.5	8.1	1	#FDDD71
46	0.5	11.1	5	#FDDD71
47	4.3	23.1	20	#FDDD71
48	19.7	25.6	5	#FDDD71
49	16.3	3.7	3	#FDDD71
50	7.1	25.9	13	#FDDD71
51	1	13.5	6	#FDDD71
52	17.5	2.6	28	#FDDD71
53	23.5	17.8	5	#FDDD71
54	12	15.2	17	#FDDD71
55	22.9	14.8	2	#FDDD71
56	28.5	6.1	23	#FDDD71
57	6.5	19.4	17	#FDDD71
58	26.9	25.8	6	#FDDD71
59	21.5	10.3	21	#FDDD71
60	29.1	2.6	18	#FDDD71
61	22.5	18.3	14	#FDDD71
62	4.5	7.8	7	#FDDD71
63	21.6	23.2	4	#FDDD71
64	6.8	21.1	13	#FDDD71
65	6.5	2.5	25	#FDDD71
66	26.7	3.4	27	#FDDD71
67	7	28.1	1	#FDDD71
68	20.3	3.9	2	#FDDD71
69	17	12.3	17	#FDDD71
70	0.2	24.8	3	#FDDD71
71	14	18.5	4	#FDDD71
72	1.9	3.3	13	#FDDD71
73	14.2	23.8	1	#FDDD71
74	27.2	12	16	#FDDD71
75	22.1	7.7	10	#FDDD71
76	3.1	21	13	#FDDD71
77	12.7	26	3	#FDDD71
78	3.7	14.3	21	#FDDD71
79	26.9	13.1	24	#FDDD71
80	1.6	19.8	19	#FDDD71
81	19	14.4	13	#FDDD71
82	14.2	18.8	19	#FDDD71
83	20.5	13.6	8	#FDDD71
84	3.3	17.9	1	#FDDD71
85	28.7	20.9	29	#FDDD71
86	7.5	6.6	24	#FDDD71
87	12.2	16.1	1	#FDDD71
88	17.5	1	10	#FDDD71
89	10.3	6.2	11	#FDDD71
90	13.6	21.1	17	#FDDD71
91	0.3	14.4	13	#FDDD71
92	12.6	26.6	16	#FDDD71
93	21.6	24.1	2	#FDDD71
94	14.5	0.3	22	#FDDD71
95	25.6	22.9	2	#FDDD71
96	10.9	4.1	8	#FDDD71
97	26.6	20	28	#FDDD71
98	18.6	4.3	24	#FDDD71
99	7.3	16.3	12	#FDDD71
100	4.3	9.5	5	#FDDD71
101	-5.1	11.3	35	#FDDD71
102	-5.1	13.3	35	#FDDD71
103	-5.1	15.3	35	#FDDD71
104	-5.1	17.3	35	#FDDD71
105	-5.1	19.3	35	#FDDD71
106	-5.1	21.3	35	#FDDD71
107	-5.1	23.3	35	#FDDD71
108	-5.1	25.3	35	#FDDD71
109	-3.1	11.3	35	#FDDD71
110	-3.1	13.3	25	#FDDD71
111	-3.1	15.3	25	#FDDD71
112	-3.1	17.3	25	#FDDD71
113	-3.1	19.3	25	#FDDD71
114	-3.1	21.3	25	#FDDD71
115	-3.1	23.3	25	#FDDD71
116	-3.1	25.3	35	#FDDD71
117	-1.1	11.3	35	#FDDD71
118	-1.1	13.3	25	#FDDD71
119	-1.1	15.3	15	#FDDD71
120	-1.1	17.3	15	#FDDD71
121	-1.1	19.3	15	#FDDD71
122	-1.1	21.3	15	#FDDD71
123	-1.1	23.3	25	#FDDD71
124	-1.1	25.3	35	#FDDD71
125	0.9	11.3	35	#FDDD71
126	0.9	13.3	25	#FDDD71
127	0.9	15.3	15	#FDDD71
128	0.9	17.3	5	#FDDD71
129	0.9	19.3	5	#FDDD71
130	0.9	21.3	15	#FDDD71
131	0.9	23.3	25	#FDDD71
132	0.9	25.3	35	#FDDD71
133	2.9	11.3	35	#FDDD71
134	2.9	13.3	25	#FDDD71
135	2.9	15.3	15	#FDDD71
136	2.9	17.3	5	#FDDD71
137	2.9	19.3	5	#FDDD71
138	2.9	21.3	15	#FDDD71
139	2.9	23.3	25	#FDDD71
140	2.9	25.3	35	#FDDD71
141	4.9	11.3	35	#FDDD71
142	4.9	13.3	25	#FDDD71
143	4.9	15.3	15	#FDDD71
144	4.9	17.3	15	#FDDD71
145	4.9	19.3	15	#FDDD71
146	4.9	21.3	15	#FDDD71
147	4.9	23.3	25	#FDDD71
148	4.9	25.3	35	#FDDD71
149	6.9	11.3	35	#FDDD71
150	6.9	13.3	25	#FDDD71
151	6.9	15.3	25	#FDDD71
152	6.9	17.3	25	#FDDD71
153	6.9	19.3	25	#FDDD71
154	6.9	21.3	25	#FDDD71
155	6.9	23.3	25	#FDDD71
156	6.9	25.3	35	#FDDD71
157	8.9	11.3	35	#FDDD71
158	8.9	13.3	35	#FDDD71
159	8.9	15.3	35	#FDDD71
160	8.9	17.3	35	#FDDD71
161	8.9	19.3	35	#FDDD71
162	8.9	21.3	35	#FDDD71
163	8.9	23.3	35	#FDDD71
164	8.9	25.3	35	#FDDD71
165	1.4	5.3	6	#FDDD71
166	3.4	5.3	6	#FDDD71
167	0.4	6.3	12	#FDDD71
168	2.4	6.3	6	#FDDD71
169	4.4	6.3	12	#FDDD71
170	-0.6	7.3	18	#FDDD71
171	1.4	7.3	12	#FDDD71
172	3.4	7.3	12	#FDDD71
173	5.4	7.3	18	#FDDD71
174	-1.6	8.3	24	#FDDD71
175	0.4	8.3	18	#FDDD71
176	2.4	8.3	12	#FDDD71
177	4.4	8.3	18	#FDDD71
178	6.4	8.3	24	#FDDD71
179	-2.6	9.3	30	#FDDD71
180	-0.6	9.3	24	#FDDD71
181	1.4	9.3	18	#FDDD71
182	3.4	9.3	18	#FDDD71
183	5.4	9.3	24	#FDDD71
184	7.4	9.3	30	#FDDD71
185	-3.6	10.3	36	#FDDD71
186	-1.6	10.3	30	#FDDD71
187	0.4	10.3	24	#FDDD71
188	2.4	10.3	18	#FDDD71
189	4.4	10.3	24	#FDDD71
190	6.4	10.3	30	#FDDD71
191	8.4	10.3	36	#FDDD71
192	-4.6	11.3	42	#FDDD71
193	-2.6	11.3	36	#FDDD71
